Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds,Who Won,Playoffs
21 Jul 2021,Milwaukee Bucks , Phoenix Suns,105,98,1.54,2.58,1,1
18 Jul 2021,Phoenix Suns , Milwaukee Bucks,119,123,1.59,2.46,0,1
15 Jul 2021,Milwaukee Bucks , Phoenix Suns,109,103,1.50,2.69,1,1
12 Jul 2021,Milwaukee Bucks , Phoenix Suns,120,100,1.51,2.67,1,1
09 Jul 2021,Phoenix Suns , Milwaukee Bucks,118,108,1.53,2.61,1,1
07 Jul 2021,Phoenix Suns , Milwaukee Bucks,118,105,1.51,2.68,1,1
04 Jul 2021,Atlanta Hawks , Milwaukee Bucks,107,118,1.63,2.37,0,1
02 Jul 2021,Milwaukee Bucks , Atlanta Hawks,123,112,1.54,2.60,1,1
01 Jul 2021,Los Angeles Clippers , Phoenix Suns,103,130,1.99,1.86,0,1
30 Jun 2021,Atlanta Hawks , Milwaukee Bucks,110,88,4.14,1.26,1,1
29 Jun 2021,Phoenix Suns , Los Angeles Clippers,102,116,1.36,3.30,0,1
28 Jun 2021,Atlanta Hawks , Milwaukee Bucks,102,113,2.63,1.53,0,1
27 Jun 2021,Los Angeles Clippers , Phoenix Suns,80,84,1.91,1.93,0,1
26 Jun 2021,Milwaukee Bucks , Atlanta Hawks,125,91,1.28,3.84,1,1
25 Jun 2021,Los Angeles Clippers , Phoenix Suns,106,92,1.97,1.88,1,1
24 Jun 2021,Milwaukee Bucks , Atlanta Hawks,113,116,1.29,3.81,0,1
23 Jun 2021,Phoenix Suns , Los Angeles Clippers,104,103,1.51,2.69,1,1
21 Jun 2021,Philadelphia 76ers , Atlanta Hawks,96,103,1.37,3.26,0,1
20 Jun 2021,Phoenix Suns , Los Angeles Clippers,120,114,1.59,2.45,1,1
20 Jun 2021,Brooklyn Nets , Milwaukee Bucks,111,115,1.77,2.12,0,1
19 Jun 2021,Los Angeles Clippers , Utah Jazz,131,119,2.22,1.73,1,1
18 Jun 2021,Atlanta Hawks , Philadelphia 76ers,99,104,2.26,1.70,0,1
18 Jun 2021,Milwaukee Bucks , Brooklyn Nets,104,89,1.52,2.66,1,1
17 Jun 2021,Utah Jazz , Los Angeles Clippers,111,119,1.27,4.02,0,1
16 Jun 2021,Philadelphia 76ers , Atlanta Hawks,106,109,1.33,3.48,0,1
16 Jun 2021,Brooklyn Nets , Milwaukee Bucks,114,108,2.02,1.85,1,1
15 Jun 2021,Los Angeles Clippers , Utah Jazz,118,104,1.48,2.77,1,1
14 Jun 2021,Atlanta Hawks , Philadelphia 76ers,103,100,2.20,1.71,1,1
14 Jun 2021,Denver Nuggets , Phoenix Suns,118,125,2.27,1.68,0,1
13 Jun 2021,Milwaukee Bucks , Brooklyn Nets,107,96,2.12,1.76,1,1
13 Jun 2021,Los Angeles Clippers , Utah Jazz,132,106,1.51,2.66,1,1
12 Jun 2021,Denver Nuggets , Phoenix Suns,102,116,1.79,2.09,0,1
11 Jun 2021,Atlanta Hawks , Philadelphia 76ers,111,127,2.15,1.76,0,1
11 Jun 2021,Utah Jazz , Los Angeles Clippers,117,111,1.70,2.23,1,1
10 Jun 2021,Milwaukee Bucks , Brooklyn Nets,86,83,1.65,2.33,1,1
10 Jun 2021,Phoenix Suns , Denver Nuggets,123,98,1.43,2.95,1,1
09 Jun 2021,Utah Jazz , Los Angeles Clippers,112,109,1.68,2.26,1,1
08 Jun 2021,Philadelphia 76ers , Atlanta Hawks,118,102,1.40,3.13,1,1
08 Jun 2021,Phoenix Suns , Denver Nuggets,122,105,1.44,2.87,1,1
07 Jun 2021,Brooklyn Nets , Milwaukee Bucks,125,86,2.02,1.87,1,1
06 Jun 2021,Los Angeles Clippers , Dallas Mavericks,126,111,1.40,3.09,1,1
06 Jun 2021,Philadelphia 76ers , Atlanta Hawks,124,128,1.52,2.65,0,1
05 Jun 2021,Brooklyn Nets , Milwaukee Bucks,115,107,1.59,2.47,1,1
05 Jun 2021,Dallas Mavericks , Los Angeles Clippers,97,104,2.24,1.71,0,1
04 Jun 2021,Los Angeles Lakers , Phoenix Suns,100,113,1.67,2.30,0,1
04 Jun 2021,Portland Trail Blazers , Denver Nuggets,115,126,1.50,2.69,0,1
03 Jun 2021,Los Angeles Clippers , Dallas Mavericks,100,105,1.30,3.69,0,1
03 Jun 2021,Utah Jazz , Memphis Grizzlies,126,110,1.22,4.65,1,1
02 Jun 2021,New York Knicks , Atlanta Hawks,89,103,2.26,1.93,0,1
02 Jun 2021,Philadelphia 76ers , Washington Wizards,129,112,1.42,2.97,1,1
02 Jun 2021,Phoenix Suns , Los Angeles Lakers,115,85,1.55,2.57,1,1
02 Jun 2021,Denver Nuggets , Portland Trail Blazers,147,140,1.80,2.06,1,1
01 Jun 2021,Brooklyn Nets , Boston Celtics,123,109,1.11,7.43,1,1
01 Jun 2021,Memphis Grizzlies , Utah Jazz,113,120,2.85,1.45,0,1
31 May 2021,Washington Wizards , Philadelphia 76ers,122,114,4.05,1.26,1,1
31 May 2021,Dallas Mavericks , Los Angeles Clippers,81,106,2.42,1.60,0,1
30 May 2021,Boston Celtics , Brooklyn Nets,126,141,4.33,1.24,0,1
30 May 2021,Los Angeles Lakers , Phoenix Suns,92,100,1.36,3.33,0,1
30 May 2021,Atlanta Hawks , New York Knicks,113,96,1.50,2.69,1,1
30 May 2021,Memphis Grizzlies , Utah Jazz,111,121,2.80,1.47,0,1
29 May 2021,Washington Wizards , Philadelphia 76ers,103,132,2.85,1.45,0,1
29 May 2021,Portland Trail Blazers , Denver Nuggets,115,95,1.50,2.69,1,1
29 May 2021,Miami Heat , Milwaukee Bucks,103,120,2.59,1.54,0,1
29 May 2021,Dallas Mavericks , Los Angeles Clippers,108,118,2.25,1.68,0,1
29 May 2021,Boston Celtics , Brooklyn Nets,125,119,3.57,1.32,1,1
28 May 2021,Atlanta Hawks , New York Knicks,105,94,1.53,2.61,1,1
28 May 2021,Portland Trail Blazers , Denver Nuggets,115,120,1.60,2.43,0,1
28 May 2021,Los Angeles Lakers , Phoenix Suns,109,95,1.36,3.27,1,1
27 May 2021,Miami Heat , Milwaukee Bucks,84,113,1.99,1.85,0,1
27 May 2021,Utah Jazz , Memphis Grizzlies,141,129,1.19,5.01,1,1
26 May 2021,New York Knicks , Atlanta Hawks,101,92,1.75,2.14,1,1
26 May 2021,Philadelphia 76ers , Washington Wizards,120,95,1.26,4.06,1,1
26 May 2021,Los Angeles Clippers , Dallas Mavericks,121,127,1.33,3.50,0,1
26 May 2021,Phoenix Suns , Los Angeles Lakers,102,109,2.10,1.77,0,1
25 May 2021,Brooklyn Nets , Boston Celtics,130,108,1.22,4.59,1,1
25 May 2021,Denver Nuggets , Portland Trail Blazers,128,109,1.76,2.12,1,1
24 May 2021,Milwaukee Bucks , Miami Heat,132,98,1.51,2.67,1,1
24 May 2021,Utah Jazz , Memphis Grizzlies,109,112,1.28,3.83,0,1
23 May 2021,New York Knicks , Atlanta Hawks,105,107,1.85,2.00,0,1
23 May 2021,Phoenix Suns , Los Angeles Lakers,99,90,1.75,2.14,1,1
23 May 2021,Philadelphia 76ers , Washington Wizards,125,118,1.30,3.73,1,1
23 May 2021,Denver Nuggets , Portland Trail Blazers,109,123,1.88,1.97,0,1
